Kemayoran,,,,,,,Priok,,,,,,,Halim,,,,,,,Bogor,,,,,,,
TANGGAL,RR,FF_X,DDD_X,FF_AVG,DDD_CAR,,TANGGAL,RR,FF_X,DDD_X,FF_AVG,DDD_CAR,,TANGGAL,RR,FF_X,DDD_X,FF_AVG,DDD_CAR,,TANGGAL,RR,FF_X,DDD_X,FF_AVG,DDD_CAR,,KETERANGAN:
3/25/2025,0,4,280,1,C,,3/25/2025,0,5,300,1,C,,3/25/2025,13.2,4,310,2,NW,,3/25/2025,4.1,6,310,1,C,,
3/26/2025,1,3,310,1,C,,3/26/2025,4.8,4,300,1,C,,3/26/2025,8888,4,300,1,C,,3/26/2025,8888,6,360,2,C,,
3/27/2025,0,3,250,1,C,,3/27/2025,10.8,4,250,1,C,,3/27/2025,8888,7,340,2,SW,,3/27/2025,1.6,11,15,2,C,,
3/28/2025,5.4,4,210,2,W,,3/28/2025,6.3,5,260,3,W,,3/28/2025,10,9,240,4,W,,3/28/2025,3.4,7,170,4,C,,
3/29/2025,0.3,6,240,3,SW,,3/29/2025,0.3,6,260,3,W,,3/29/2025,8888,10,230,6,W,,3/29/2025,6.4,6,135,2,C,,
3/30/2025,8888,5,260,2,C,,3/30/2025,0.1,4,270,2,W,,3/30/2025,0.1,8,230,5,W,,3/30/2025,0.2,3,310,0,C,,
3/31/2025,0,4,290,1,C,,3/31/2025,0,5,260,1,C,,3/31/2025,0,6,340,2,W,,3/31/2025,0,11,250,2,C,,
4/1/2025,1,4,280,1,C,,4/1/2025,8888,3,60,0,C,,4/1/2025,27.4,5,360,2,SW,,4/1/2025,6.4,8,180,1,C,,
4/2/2025,5.8,4,280,1,C,,4/2/2025,49.3,3,220,1,C,,4/2/2025,4.7,8,210,2,C,,4/2/2025,11.8,11,275,2,C,,
4/3/2025,8.2,4,310,1,C,,4/3/2025,1.3,3,120,1,C,,4/3/2025,67.5,4,140,2,C,,4/3/2025,9.6,7,350,2,C,,
4/4/2025,5.9,4,300,1,C,,4/4/2025,13.1,3,290,1,C,,4/4/2025,10,4,30,1,C,,4/4/2025,4.6,7,220,2,C,,
4/5/2025,8888,3,280,1,C,,4/5/2025,1.2,4,320,1,C,,4/5/2025,16.4,6,360,1,C,,4/5/2025,0,6,220,1,C,,
4/6/2025,0,6,320,1,C,,4/6/2025,0,4,280,1,C,,4/6/2025,23,10,220,2,C,,4/6/2025,0.3,13,196,2,C,,
4/7/2025,43,4,300,1,C,,4/7/2025,37,4,40,1,C,,4/7/2025,81.4,5,50,2,C,,4/7/2025,6.8,9,300,2,C,,
4/8/2025,0,5,290,1,C,,4/8/2025,1,3,60,1,C,,4/8/2025,0.3,4,40,2,C,,4/8/2025,0.1,5,20,1,C,,
4/9/2025,0,4,30,1,C,,4/9/2025,0,5,60,2,C,,4/9/2025,0,8,20,3,N,,4/9/2025,0,9,50,2,C,,
4/10/2025,0,4,270,1,C,,4/10/2025,0,4,170,1,C,,4/10/2025,0,8,220,2,C,,4/10/2025,0,4,300,1,C,,
4/11/2025,0,4,300,1,C,,4/11/2025,0,5,100,1,C,,4/11/2025,5.5,8,240,2,S,,4/11/2025,0.6,20,170,2,C,,
4/12/2025,0,6,280,1,C,,4/12/2025,48,4,320,1,C,,4/12/2025,5.4,4,70,2,C,,4/12/2025,28.4,7,300,2,C,,
4/13/2025,11.1,4,320,2,C,,4/13/2025,0.2,7,250,2,C,,4/13/2025,0.4,8,220,3,SW,,4/13/2025,3,14,275,2,C,,
4/14/2025,8.9,3,250,1,C,,4/14/2025,5.2,5,260,2,W,,4/14/2025,24,8,270,4,W,,4/14/2025,2.6,4,275,1,C,,
4/15/2025,0,3,271,1,C,,4/15/2025,0,5,290,1,C,,4/15/2025,0,4,240,2,W,,4/15/2025,0,7,300,1,C,,
4/16/2025,2.5,5,290,1,C,,4/16/2025,33.3,4,280,1,C,,4/16/2025,0.7,6,10,2,C,,4/16/2025,3.2,5,270,2,C,,
4/17/2025,25.5,3,300,0,C,,4/17/2025,41.8,2,320,0,C,,4/17/2025,10,2,10,1,C,,4/17/2025,6.8,5,330,1,C,,
4/18/2025,0,6,220,1,C,,4/18/2025,0,3,260,1,C,,4/18/2025,0,6,250,2,C,,4/18/2025,0,8,310,3,C,,
4/19/2025,2.8,5,300,1,C,,4/19/2025,0,6,270,1,C,,4/19/2025,5.6,5,20,3,N,,4/19/2025,0,9,338,2,C,,
4/20/2025,2.1,3,310,1,C,,4/20/2025,2.2,3,300,1,C,,4/20/2025,0,5,280,2,SW,,4/20/2025,21.7,7,250,2,C,,
4/21/2025,0,5,250,1,C,,4/21/2025,0,6,285,2,W,,4/21/2025,0,5,240,2,W,,4/21/2025,0,5,10,1,C,,
4/22/2025,7.5,3,300,0,C,,4/22/2025,8888,3,200,1,C,,4/22/2025,8888,5,330,2,C,,4/22/2025,0,9,280,2,C,,
4/23/2025,9.5,7,290,2,C,,4/23/2025,1,8,280,3,SW,,4/23/2025,13,8,240,4,SW,,4/23/2025,0,7,230,3,C,,
4/24/2025,0,6,310,2,C,,4/24/2025,0,4,300,2,C,,4/24/2025,0,8,240,2,C,,4/24/2025,0,12,205,2,C,,
4/25/2025,0,4,310,1,C,,4/25/2025,0,4,120,1,C,,4/25/2025,3.5,5,20,2,C,,4/25/2025,1.8,11,160,3,C,,
4/26/2025,8888,2,320,1,C,,4/26/2025,0,4,20,1,C,,4/26/2025,9,4,40,1,C,,4/26/2025,3.6,11,30,1,C,,
4/27/2025,25,4,310,1,C,,4/27/2025,26,3,40,1,C,,4/27/2025,8.6,4,30,2,C,,4/27/2025,36.9,5,210,1,C,,
4/28/2025,0,4,300,1,C,,4/28/2025,8888,4,50,1,C,,4/28/2025,2.8,5,20,2,C,,4/28/2025,69.5,7,20,2,C,,
4/29/2025,0,4,330,1,C,,4/29/2025,0,4,50,2,NE,,4/29/2025,0,4,10,2,C,,4/29/2025,1.6,5,20,1,C,,
4/30/2025,0,3,220,1,C,,4/30/2025,0.5,5,40,1,C,,4/30/2025,0,7,40,2,C,,4/30/2025,0,15,50,3,C,,
